(80, 5): R=144, G=181, B=208
(81, 5): R=143, G=180, B=207
(82, 5): R=142, G=179, B=206
(83, 5): R=142, G=179, B=206
(84, 5): R=141, G=178, B=205
(85, 5): R=140, G=178, B=205
(86, 5): R=138, G=178, B=204
(87, 5): R=137, G=177, B=204
(88, 5): R=137, G=176, B=204
(89, 5): R=136, G=176, B=203
(90, 5): R=136, G=175, B=203
(91, 5): R=135, G=174, B=203
(92, 5): R=135, G=174, B=203
(93, 5): R=134, G=173, B=202
(94, 5): R=133, G=173, B=202
(95, 5): R=133, G=173, B=201
(96, 5): R=133, G=172, B=201
(97, 5): R=132, G=173, B=201
(98, 5): R=132, G=173, B=201
(99, 5): R=131, G=172, B=200
(0, 6): R=148, G=164, B=170
(1, 6): R=123, G=112, B=131
(2, 6): R=108, G=105, B=142
(3, 6): R=130, G=160, B=189
(4, 6): R=162, G=185, B=186
(5, 6): R=234, G=215, B=157
(6, 6): R=219, G=206, B=157
(7, 6): R=154, G=181, B=192
(8, 6): R=141, G=179, B=207
(9, 6): R=143, G=180, B=207
(10, 6): R=144, G=180, B=207
(11, 6): R=145, G=181, B=207
(12, 6): R=146, G=182, B=208
(13, 6): R=146, G=182, B=208
(14, 6): R=147, G=183, B=209
(15, 6): R=148, G=184, B=210
(16, 6): R=149, G=185, B=211
(17, 6): R=150, G=185, B=211
(18, 6): R=151, G=186, B=211
(19, 6): R=152, G=187, B=211
(20, 6): R=153, G=187, B=212
(21, 6): R=154, G=188, B=213
(22, 6): R=155, G=189, B=214
(23, 6): R=156, G=190, B=215
(24, 6): R=157, G=191, B=216
(25, 6): R=159, G=192, B=216
(26, 6): R=161, G=193, B=216
(27, 6): R=162, G=194, B=217
(28, 6): R=163, G=195, B=218
(29, 6): R=164, G=196, B=219
(30, 6): R=165, G=197, B=220
(31, 6): R=166, G=197, B=220
(32, 6): R=167, G=198, B=220
(33, 6): R=168, G=199, B=220
(34, 6): R=169, G=200, B=221
(35, 6): R=170, G=201, B=222
(36, 6): R=170, G=201, B=222
(37, 6): R=171, G=202, B=223
(38, 6): R=172, G=202, B=224
(39, 6): R=173, G=203, B=224
(40, 6): R=174, G=203, B=224
(41, 6): R=174, G=203, B=224
(42, 6): R=175, G=204, B=225
(43, 6): R=176, G=204, B=225
(44, 6): R=176, G=204, B=225
(45, 6): R=176, G=204, B=225
(46, 6): R=176, G=204, B=225
(47, 6): R=176, G=204, B=225
(48, 6): R=175, G=204, B=225
(49, 6): R=176, G=204, B=225
(50, 6): R=176, G=204, B=224
(51, 6): R=173, G=204, B=225
(52, 6): R=147, G=200, B=232
(53, 6): R=104, G=193, B=243
(54, 6): R=75, G=187, B=250
(55, 6): R=67, G=185, B=253
(56, 6): R=65, G=182, B=253
(57, 6): R=60, G=175, B=254
(58, 6): R=54, G=167, B=254
(59, 6): R=49, G=160, B=254
(60, 6): R=46, G=154, B=254
(61, 6): R=46, G=150, B=252
(62, 6): R=56, G=151, B=249
(63, 6): R=85, G=160, B=239
(64, 6): R=129, G=179, B=227
(65, 6): R=159, G=193, B=218
(66, 6): R=162, G=194, B=216
(67, 6): R=159, G=192, B=216
(68, 6): R=157, G=191, B=216
(69, 6): R=156, G=190, B=215
(70, 6): R=155, G=189, B=214
(71, 6): R=154, G=188, B=213
(72, 6): R=153, G=188, B=213
(73, 6): R=152, G=187, B=212
(74, 6): R=151, G=187, B=212
(75, 6): R=150, G=186, B=212
(76, 6): R=149, G=185, B=211
(77, 6): R=148, G=184, B=210
(78, 6): R=147, G=183, B=209
(79, 6): R=146, G=182, B=208
(80, 6): R=145, G=182, B=208
(81, 6): R=144, G=181, B=208
(82, 6): R=143, G=180, B=207
(83, 6): R=143, G=180, B=207
(84, 6): R=142, G=179, B=206
(85, 6): R=141, G=178, B=205
(86, 6): R=140, G=178, B=205
(87, 6): R=139, G=177, B=204
(88, 6): R=138, G=177, B=203
(89, 6): R=137, G=177, B=203
(90, 6): R=136, G=176, B=203
(91, 6): R=136, G=175, B=203
(92, 6): R=135, G=174, B=203
(93, 6): R=135, G=174, B=203
(94, 6): R=135, G=174, B=203
(95, 6): R=134, G=173, B=202
(96, 6): R=134, G=173, B=202
(97, 6): R=133, G=172, B=201
(98, 6): R=133, G=173, B=201
(99, 6): R=132, G=173, B=201
(0, 7): R=157, G=181, B=196
(1, 7): R=131, G=132, B=159
(2, 7): R=102, G=107, B=147
(3, 7): R=133, G=165, B=193
(4, 7): R=155, G=183, B=196
(5, 7): R=204, G=200, B=159
(6, 7): R=201, G=196, B=149
(7, 7): R=152, G=182, B=196
(8, 7): R=143, G=180, B=207
(9, 7): R=144, G=181, B=207
(10, 7): R=145, G=181, B=207
(11, 7): R=146, G=182, B=208
(12, 7): R=146, G=182, B=208
(13, 7): R=147, G=183, B=209
(14, 7): R=148, G=184, B=210
(15, 7): R=149, G=185, B=211
(16, 7): R=150, G=185, B=211
(17, 7): R=152, G=186, B=211
(18, 7): R=153, G=187, B=212
(19, 7): R=153, G=187, B=212
(20, 7): R=154, G=189, B=214
(21, 7): R=155, G=189, B=214
(22, 7): R=156, G=190, B=215
(23, 7): R=158, G=191, B=216
(24, 7): R=160, G=192, B=217
(25, 7): R=161, G=193, B=216
(26, 7): R=162, G=194, B=217
(27, 7): R=163, G=195, B=218
(28, 7): R=164, G=196, B=219
(29, 7): R=166, G=197, B=220
(30, 7): R=167, G=198, B=220
(31, 7): R=168, G=199, B=220
(32, 7): R=169, G=200, B=221
(33, 7): R=170, G=201, B=222
(34, 7): R=171, G=201, B=223
(35, 7): R=172, G=202, B=223
(36, 7): R=174, G=202, B=224
(37, 7): R=174, G=203, B=225
(38, 7): R=175, G=203, B=225
(39, 7): R=176, G=204, B=225
(40, 7): R=176, G=204, B=225
(41, 7): R=177, G=205, B=226
(42, 7): R=177, G=205, B=226
(43, 7): R=177, G=205, B=226
(44, 7): R=178, G=206, B=227
(45, 7): R=178, G=206, B=227
(46, 7): R=178, G=206, B=227
(47, 7): R=178, G=206, B=227
(48, 7): R=178, G=206, B=227
(49, 7): R=179, G=206, B=226
(50, 7): R=158, G=204, B=231
(51, 7): R=105, G=193, B=243
(52, 7): R=68, G=184, B=252
(53, 7): R=62, G=183, B=253
(54, 7): R=58, G=178, B=252
(55, 7): R=46, G=163, B=253
(56, 7): R=32, G=144, B=253
(57, 7): R=23, G=131, B=253
(58, 7): R=20, G=124, B=252
(59, 7): R=21, G=122, B=251
(60, 7): R=22, G=122, B=251
(61, 7): R=23, G=123, B=251
(62, 7): R=25, G=125, B=251
(63, 7): R=26, G=126, B=251
(64, 7): R=36, G=130, B=248
(65, 7): R=77, G=149, B=237
(66, 7): R=138, G=181, B=223
(67, 7): R=163, G=194, B=216
(68, 7): R=160, G=193, B=216
(69, 7): R=158, G=192, B=216
(70, 7): R=157, G=191, B=216
(71, 7): R=155, G=189, B=214
(72, 7): R=155, G=189, B=214
(73, 7): R=153, G=188, B=213
(74, 7): R=152, G=187, B=212
(75, 7): R=151, G=186, B=212
(76, 7): R=150, G=186, B=211
